20170101171037 8CAB8EB11D68 bc:6c:21:8b:d1:b4 http://archive-shop.vip.com/detail-0-149068116.html
20170101105208 8CAB8EAA40E8 68:3e:34:67:3e:83 http://archive-shop.vip.com/detail-0-150193618.html
20170101152852 8CAB8ECD2A78 68:f7:28:01:5b:ac http://archive-shop.vip.com/detail-0-149304863.html
20170101171625 006B8EEFF788 18:dc:56:f0:9e:bc http://archive-shop.vip.com/detail-0-148949236.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-148793496.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-150014069.html
20170101170843 8CAB8EC1D2F0 44:00:10:b1:96:f8 http://archive-shop.vip.com/detail-0-147813174.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149970696.html
20170101170858 8CAB8ED54168 3c:a3:48:87:5c:d4 http://archive-shop.vip.com/detail-0-148537761.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149703839.html
20170101170653 8CAB8ECF5660 80:4e:81:da:20:c9 http://archive-shop.vip.com/detail-0-151432353.html
20170101104051 8CAB8EFBAA90 cc:2d:83:ee:36:fe http://archive-shop.vip.com/detail-0-148970472.html
20170101105825 006B8EF18FE8 ac:e0:10:1c:9d:e3 http://archive-shop.vip.com/detail-0-149714436.html
20170101170640 8CAB8EC20DE8 fc:db:b3:22:c5:51 http://archive-shop.vip.com/detail-0-150514424.html
20170101170858 8CAB8ED54168 3c:a3:48:87:5c:d4 http://archive-shop.vip.com/detail-0-149877660.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143721.html
20170101105503 8CAB8ED62218 90:60:f1:2e:0d:3b http://archive-shop.vip.com/detail-0-151085854.html
20170101170619 8CAB8ECA6D80 70:72:3c:93:be:eb http://archive-shop.vip.com/detail-0-149908861.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149703846.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-149970797.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-149143555.html
20170101105603 8CAB8E9963E8 d8:1d:72:d8:3a:db http://archive-shop.vip.com/detail-0-149031435.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-150013956.html
20170101103840 8CAB8E3C8F28 00:0a:f5:8a:b2:d0 http://archive-shop.vip.com/detail-0-150014123.html
20170101104009 8CAB8EE7FB18 28:ed:6a:ca:0f:e4 http://archive-shop.vip.com/detail-0-148931747.html
